data1,data2,data3
0.145,0.65,-0.464
0.149,0.643,-0.476
0.137,0.633,-0.47
0.143,0.626,-0.467
0.144,0.617,-0.473
0.146,0.602,-0.468
0.148,0.597,-0.474
0.141,0.582,-0.458
0.145,0.569,-0.465
0.144,0.558,-0.468
0.146,0.543,-0.464
0.181,0.534,-0.457
0.144,0.518,-0.461
0.151,0.51,-0.456
0.146,0.495,-0.451
0.148,0.487,-0.452
0.153,0.479,-0.455
0.144,0.463,-0.451
0.15,0.463,-0.448
0.153,0.445,-0.444
0.148,0.444,-0.447
0.153,0.436,-0.441
0.156,0.42,-0.432
0.149,0.419,-0.428
0.15,0.41,-0.431
0.159,0.402,-0.431
0.16,0.396,-0.415
0.149,0.384,-0.415
0.157,0.374,-0.405
0.157,0.368,-0.413
0.167,0.363,-0.407
0.16,0.357,-0.4
0.163,0.343,-0.403
0.167,0.334,-0.384
0.164,0.325,-0.39
0.169,0.314,-0.382
0.166,0.306,-0.376
0.166,0.292,-0.364
0.174,0.291,-0.36
0.174,0.281,-0.365
0.167,0.27,-0.348
0.162,0.266,-0.349
0.163,0.259,-0.366
0.175,0.255,-0.349
0.169,0.254,-0.339
0.172,0.247,-0.333
0.17,0.234,-0.334
0.178,0.233,-0.332
0.181,0.226,-0.333
0.173,0.226,-0.317
0.175,0.224,-0.319
0.177,0.215,-0.323
0.179,0.213,-0.311
0.183,0.216,-0.312
0.178,0.204,-0.314
0.184,0.199,-0.305
0.19,0.202,-0.295
0.194,0.197,-0.29
0.193,0.191,-0.285
0.182,0.194,-0.275
0.188,0.192,-0.274
0.182,0.198,-0.276
0.18,0.185,-0.26
0.188,0.192,-0.26
0.181,0.192,-0.259
0.196,0.192,-0.239
0.184,0.191,-0.244
0.192,0.19,-0.225
0.195,0.188,-0.233
0.194,0.192,-0.222
0.194,0.186,-0.225
0.198,0.183,-0.211
0.203,0.191,-0.216
0.204,0.189,-0.216
0.209,0.197,-0.201
0.202,0.198,-0.204
0.201,0.194,-0.203
0.197,0.205,-0.198
0.203,0.201,-0.198
0.209,0.203,-0.184
0.196,0.208,-0.186
0.202,0.21,-0.171
0.206,0.219,-0.174
0.209,0.22,-0.175
0.203,0.227,-0.17
0.198,0.232,-0.16
0.201,0.237,-0.162
0.206,0.242,-0.163
0.198,0.241,-0.152
0.203,0.251,-0.148
0.208,0.262,-0.141
0.208,0.256,-0.131
0.208,0.263,-0.139
0.204,0.266,-0.139
0.201,0.279,-0.137
0.207,0.286,-0.133
0.208,0.291,-0.131
0.198,0.31,-0.128
0.202,0.32,-0.118
0.211,0.323,-0.123
0.21,0.331,-0.112
0.214,0.35,-0.12
0.216,0.349,-0.114
0.212,0.363,-0.103
0.212,0.369,-0.1
0.207,0.383,-0.096
0.209,0.386,-0.1
0.207,0.391,-0.097
0.21,0.389,-0.104
0.206,0.401,-0.103
0.211,0.414,-0.099
0.21,0.422,-0.101
0.21,0.427,-0.102
0.213,0.43,-0.094
0.218,0.442,-0.102
0.211,0.454,-0.093
0.212,0.468,-0.093
0.212,0.487,-0.111
0.208,0.487,-0.097
0.208,0.499,-0.09
0.214,0.515,-0.084
0.218,0.523,-0.089
0.201,0.53,-0.092
0.207,0.542,-0.09
0.208,0.546,-0.083
0.201,0.561,-0.096
0.207,0.576,-0.086
0.204,0.583,-0.092
0.204,0.599,-0.094
0.212,0.6,-0.095
0.211,0.616,-0.094
0.211,0.632,-0.097
0.207,0.636,-0.092
0.21,0.657,-0.095
0.214,0.667,-0.105
0.209,0.674,-0.109
0.208,0.687,-0.108
0.207,0.696,-0.1
0.21,0.702,-0.101
0.2,0.711,-0.104
0.206,0.726,-0.105
0.207,0.743,-0.108
0.208,0.749,-0.116
0.203,0.762,-0.11
0.197,0.768,-0.111
0.205,0.78,-0.113
0.204,0.793,-0.137
0.202,0.806,-0.127
0.204,0.81,-0.122
0.202,0.822,-0.136
0.2,0.837,-0.129
0.197,0.837,-0.137
0.198,0.851,-0.137
0.193,0.86,-0.148
0.199,0.868,-0.157
0.202,0.873,-0.147
0.193,0.873,-0.155
0.198,0.889,-0.155
0.199,0.899,-0.165
0.201,0.906,-0.171
0.198,0.918,-0.154
0.19,0.923,-0.177
0.188,0.93,-0.184
0.194,0.939,-0.186
0.187,0.95,-0.186
0.178,0.95,-0.182
0.185,0.963,-0.189
0.182,0.97,-0.198
0.19,0.978,-0.196
0.179,0.978,-0.214
0.179,0.988,-0.218
0.184,0.997,-0.221
0.178,0.999,-0.221
0.187,1.006,-0.231
0.181,1.006,-0.232
0.183,1.012,-0.241
0.183,1.017,-0.228
0.181,1.018,-0.254
0.178,1.025,-0.248
0.177,1.031,-0.26
0.167,1.035,-0.257
0.177,1.041,-0.27
0.167,1.044,-0.273
0.176,1.048,-0.265
0.178,1.049,-0.286
0.171,1.053,-0.284
0.166,1.06,-0.295
0.166,1.056,-0.296
0.163,1.064,-0.292
0.162,1.061,-0.302
0.163,1.065,-0.307
0.166,1.062,-0.312
0.17,1.063,-0.298
0.164,1.068,-0.323
0.16,1.058,-0.329
0.169,1.063,-0.331
0.157,1.065,-0.326
0.157,1.065,-0.342
0.162,1.065,-0.345
0.161,1.057,-0.347
0.156,1.058,-0.355
0.158,1.058,-0.364
0.155,1.057,-0.374
0.165,1.053,-0.371
0.159,1.053,-0.376
0.156,1.045,-0.384
0.152,1.039,-0.381
0.161,1.049,-0.38
0.149,1.04,-0.39
0.149,1.032,-0.389
0.15,1.027,-0.398
0.153,1.024,-0.409
0.14,1.022,-0.406
0.144,1.019,-0.412
0.144,1.016,-0.403
0.143,1.011,-0.404
0.147,1.004,-0.416
0.138,1.002,-0.416
0.143,1.003,-0.426
0.144,0.993,-0.426
0.136,0.983,-0.413
0.142,0.979,-0.431
0.14,0.97,-0.432
0.142,0.96,-0.445
0.138,0.956,-0.45
0.139,0.951,-0.434
0.143,0.944,-0.459
0.145,0.935,-0.455
0.144,0.927,-0.446
0.135,0.918,-0.448
0.139,0.902,-0.453
0.142,0.894,-0.453
0.143,0.885,-0.463
0.137,0.876,-0.468
0.138,0.868,-0.463
0.134,0.865,-0.473
0.135,0.841,-0.47
0.145,0.832,-0.466
0.14,0.829,-0.467
0.134,0.819,-0.465
0.144,0.796,-0.467
0.137,0.8,-0.472
0.133,0.797,-0.47
0.137,0.789,-0.472
0.141,0.78,-0.477
0.14,0.776,-0.479
0.139,0.759,-0.479
0.14,0.746,-0.481
0.141,0.738,-0.47
0.141,0.725,-0.482
0.148,0.713,-0.472
0.148,0.705,-0.469
0.14,0.698,-0.482
0.141,0.681,-0.471
0.141,0.676,-0.471
0.142,0.662,-0.477
0.144,0.646,-0.469
0.149,0.638,-0.482
0.145,0.626,-0.474
0.15,0.614,-0.47
0.14,0.612,-0.466
0.149,0.59,-0.469
0.141,0.591,-0.461
0.151,0.575,-0.461
0.152,0.557,-0.466
0.153,0.555,-0.458
0.153,0.53,-0.45
0.151,0.521,-0.454
0.146,0.512,-0.459
0.151,0.508,-0.453
0.154,0.5,-0.456
0.15,0.477,-0.455
0.15,0.472,-0.443
0.151,0.464,-0.441
0.152,0.457,-0.441
0.156,0.445,-0.433
0.162,0.434,-0.441
0.147,0.431,-0.445
0.153,0.417,-0.434
0.154,0.405,-0.438
0.155,0.398,-0.425
0.157,0.398,-0.424
0.147,0.387,-0.424
0.159,0.38,-0.414
0.158,0.371,-0.421
0.164,0.358,-0.41
0.167,0.349,-0.415
0.169,0.343,-0.397
0.165,0.339,-0.388
0.164,0.331,-0.38
0.167,0.319,-0.384
0.164,0.3,-0.382
0.165,0.3,-0.373
0.163,0.292,-0.368
0.172,0.286,-0.361
0.166,0.28,-0.361
0.174,0.267,-0.36
0.17,0.259,-0.353
0.166,0.255,-0.355
0.167,0.249,-0.352
0.175,0.251,-0.341
0.174,0.24,-0.331
0.181,0.233,-0.323
0.183,0.236,-0.33
0.184,0.229,-0.319
0.175,0.224,-0.314
0.179,0.22,-0.314
0.182,0.215,-0.304
0.181,0.214,-0.304
0.185,0.21,-0.301
0.181,0.211,-0.296
0.184,0.207,-0.291
0.182,0.205,-0.286
0.189,0.201,-0.29
0.182,0.2,-0.283
0.182,0.195,-0.269
0.178,0.196,-0.265
0.183,0.198,-0.262
0.191,0.189,-0.251
0.179,0.187,-0.245
0.181,0.19,-0.246
0.189,0.186,-0.239
0.186,0.178,-0.228
0.196,0.188,-0.235
0.196,0.189,-0.222
0.195,0.186,-0.219
0.194,0.187,-0.217
0.198,0.188,-0.219
0.193,0.19,-0.21
0.201,0.194,-0.206
0.206,0.195,-0.205
0.213,0.194,-0.197
0.204,0.199,-0.193
0.206,0.198,-0.183
0.199,0.212,-0.19
0.202,0.214,-0.187
0.2,0.211,-0.17
0.2,0.217,-0.179
0.206,0.217,-0.17
0.204,0.22,-0.168
0.191,0.235,-0.164
0.208,0.239,-0.164
0.206,0.245,-0.157
0.199,0.249,-0.146
0.202,0.253,-0.146
0.207,0.263,-0.137
0.201,0.262,-0.143
0.204,0.268,-0.144
0.211,0.27,-0.132
0.206,0.279,-0.136
0.207,0.289,-0.128
0.209,0.296,-0.13
0.211,0.304,-0.118
0.215,0.312,-0.116
0.21,0.324,-0.109
0.208,0.331,-0.11
0.214,0.341,-0.11
0.206,0.353,-0.102
0.213,0.355,-0.099
0.215,0.361,-0.103
0.215,0.372,-0.108
0.208,0.381,-0.106
0.204,0.388,-0.099
0.21,0.391,-0.097
0.211,0.4,-0.096
0.212,0.407,-0.093
0.22,0.415,-0.095
0.215,0.418,-0.095
0.209,0.433,-0.088
0.212,0.443,-0.092
0.212,0.458,-0.09
0.215,0.457,-0.095
0.221,0.471,-0.089
0.216,0.485,-0.095
0.218,0.495,-0.1
0.223,0.503,-0.088
0.216,0.515,-0.085
0.213,0.524,-0.092
0.215,0.532,-0.089
0.211,0.544,-0.102
0.209,0.557,-0.084
0.21,0.564,-0.09
0.207,0.583,-0.096
0.208,0.598,-0.09
0.21,0.604,-0.098
0.202,0.619,-0.087
0.205,0.623,-0.093
0.206,0.636,-0.093
0.21,0.648,-0.096
0.203,0.653,-0.094
0.211,0.665,-0.098
0.21,0.672,-0.099
0.21,0.679,-0.103
0.215,0.695,-0.113
0.212,0.704,-0.1
0.21,0.72,-0.106
0.208,0.73,-0.101
0.205,0.743,-0.104
0.202,0.752,-0.107
0.204,0.764,-0.123
0.203,0.772,-0.125
0.204,0.78,-0.129
0.203,0.792,-0.125
0.203,0.805,-0.127
0.199,0.808,-0.125
0.199,0.812,-0.137
0.195,0.83,-0.151
0.197,0.844,-0.143
0.191,0.853,-0.15
0.202,0.861,-0.143
0.193,0.87,-0.153
0.191,0.878,-0.151
0.197,0.884,-0.145
0.194,0.895,-0.158
0.198,0.894,-0.167
0.199,0.909,-0.175
0.193,0.92,-0.177
0.194,0.924,-0.173
0.192,0.93,-0.185
0.185,0.949,-0.183
0.189,0.941,-0.2
0.183,0.958,-0.189
0.177,0.963,-0.205
0.176,0.974,-0.204
0.178,0.983,-0.215
0.177,0.989,-0.218
0.174,0.987,-0.224
0.179,1.0,-0.217
0.175,0.997,-0.221
0.176,0.995,-0.228
0.175,1.006,-0.224
0.18,1.017,-0.234
0.18,1.021,-0.235
0.172,1.016,-0.24
0.17,1.026,-0.248
0.169,1.034,-0.262
0.179,1.035,-0.271
0.172,1.038,-0.27
0.175,1.04,-0.277
0.169,1.044,-0.276
0.172,1.052,-0.284
0.168,1.051,-0.286
0.165,1.053,-0.3
0.166,1.058,-0.3
0.162,1.062,-0.297
0.159,1.063,-0.309
0.163,1.066,-0.312
0.162,1.059,-0.317
0.156,1.065,-0.325
0.157,1.061,-0.321
0.16,1.058,-0.331
0.158,1.066,-0.321
0.153,1.074,-0.347
0.159,1.067,-0.347
0.156,1.059,-0.355
0.15,1.064,-0.35
0.16,1.059,-0.362
0.156,1.064,-0.365
0.158,1.054,-0.37
0.163,1.051,-0.373
0.152,1.047,-0.377
0.151,1.048,-0.385
0.151,1.048,-0.389
0.149,1.05,-0.394
0.15,1.038,-0.392
0.149,1.037,-0.394
0.143,1.025,-0.408
0.143,1.018,-0.403
0.147,1.028,-0.411
0.142,1.013,-0.419
0.143,1.015,-0.409
0.147,1.007,-0.418
0.144,1.004,-0.418
0.143,0.999,-0.42
0.136,0.995,-0.42
0.139,0.989,-0.423
0.149,0.991,-0.433
0.143,0.971,-0.438
0.138,0.968,-0.444
0.14,0.96,-0.435
0.14,0.952,-0.447
0.139,0.945,-0.446
0.147,0.943,-0.454
0.145,0.929,-0.444
0.143,0.927,-0.46
0.139,0.925,-0.459
0.138,0.911,-0.457
